index,add_date,cm_track_id,title,primary_artist,secondary_artist,Prim: Jan. 5-Listeners,Prim: Dec. 6-Listeners,collab,time_on_chart,max velocity,peak weekly rank,current_plays,peak weekly play count,listener difference,listener diff. %,Prim: Dec. 6-Followers,Prim: Jan 5-Followers,current engagement,career status,early FB likes,recent FB likes,early IG followers,recent IG followers,FB Like difference,FB Like % Gain,IG Follower difference,IG Follower % Gain,early Twitter followers,recent Twitter followers,Twitter Follower difference,Twitter Follower % Gain,early Tiktok followers,recent Tiktok followers,Tiktok Follower difference,Tiktok Follower % Gain,early engagement,follower difference,follower diff. %,engagement diff,engagement diff %
21,2020-01-23,28209336,3am,Halsey,,38187377,41080840,False,1,,106,2544946,2544946,2893463,7.577014257878985,12853756,8927934,0.3128893177452068,superstar,2513575.0,2888923.0,17719113.0,22308318.0,375348.0,14.932834707538069,4589205.0,25.89974453010148,12247517.0,13820963.0,1573446.0,12.847061163499507,1424597.0,2600000.0,1175403.0,82.50775482469778,0.2337928054079232,3925822,43.972345673702335,0.0790965123372836,33.83188468921253
22,2020-07-09,29993051,44 BullDog,Pop Smoke,,4275931,39885895,False,2,-20.0,31,3564802,3564802,35609964,832.8002486476047,2726875,78443,0.068366900128479,indie,54331.0,294938.0,663629.0,3389271.0,240607.0,442.8539875945593,2725642.0,410.7177353611732,89084.0,187013.0,97929.0,109.92883121548202,487982.0,2600000.0,2112018.0,432.8065379460718,0.018345244579484558,2648432,3376.2502708973393,0.05002165554899445,272.66824016581137
23,2020-07-30,30375303,5 Hooks,Logic,,14285801,12429394,False,1,,150,1767247,1767247,-1856407,-12.99477012174536,5049351,4312281,0.40624273395790655,comfortable,1674882.0,1646222.0,6855348.0,6763257.0,-28660.0,-1.7111653238855038,-92091.0,-1.343345370650768,2463104.0,2433663.0,-29441.0,-1.1952804266486514,122938.0,208500.0,85562.0,69.59768338512096,0.30185783772292496,737070,17.092346254801114,0.1043848962349816,34.580813611603624
24,2020-01-16,27449271,6 Kiss,Trippie Redd,Juice WRLD,14643705,15492508,True,13,1.7142857142857095,97,2387848,2387848,848803,5.796367790801576,5574658,3946442,0.3598292800623372,comfortable,349693.0,422837.0,8927608.0,11542441.0,73144.0,20.916632589156773,2614833.0,29.28929003155157,1080938.0,1628681.0,547743.0,50.67293406282322,1417948.0,2000000.0,582052.0,41.048896010290925,0.26949750763211905,1628216,41.25782160234459,0.09033177243021816,33.518592889373465
25,2020-08-20,30989749,7 Summers,Morgan Wallen,,6211895,9967994,False,3,3.28571428571429,3,8633854,8633854,3756099,60.46623453873576,1011081,355478,0.10143274564571368,indie,126606.0,344232.0,504062.0,1770885.0,217626.0,171.8923273778494,1266823.0,251.32285314108188,185347.0,418535.0,233188.0,125.81158583629623,453727.0,1100000.0,646273.0,142.4365312181113,0.057225371645850426,655603,184.42857223231812,0.044207373999863256,77.25135325192572
26,2020-01-09,22290726,7 rings,Ariana Grande,,62417310,70788872,False,74,5.571428571428571,83,2413328,2413328,8371562,13.412244135481007,53660605,40517899,0.7580372943363188,superstar,32876163.0,33391595.0,171255892.0,208337183.0,515432.0,1.5677985292870096,37081291.0,21.6525636385112,68675314.0,79575138.0,10899824.0,15.871531362783433,16710870.0,21100000.0,4389130.0,26.26511964966516,0.6491452291039136,13142706,32.436790466356605,0.10889206523240524,16.774684669980694
27,2020-06-04,29594207,911,Lady Gaga,,31157161,40385514,False,1,,54,2882777,2882777,9228353,29.61872232197279,14839074,10120286,0.36743556117671294,comfortable,58447258.0,57535270.0,38931887.0,45402284.0,-911988.0,-1.5603606246164703,6470397.0,16.61978778475341,80626027.0,82906492.0,2280465.0,2.8284476922073813,2460620.0,3000000.0,539380.0,21.920491583422066,0.3248141253948009,4718788,46.627022200755995,0.04262143578191202,13.121792572939082
28,2020-03-05,28621699,<3,Bad Bunny,,39855261,50734643,False,1,,97,2484105,2484105,10879382,27.297229341943087,27182805,17605395,0.5357839021356671,superstar,3541518.0,8530442.0,20759781.0,28757108.0,4988924.0,140.86964968129485,7997327.0,38.52317613562494,889435.0,2473155.0,1583720.0,178.0591049374041,,,,,0.44173327581520544,9577410,54.40042668738759,0.09405062632046164,21.29127042713593
29,2020-04-23,29093768,@ MEH,Playboi Carti,,5973554,7897263,False,4,-1.57142857142857,8,6233724,6233724,1923709,32.20376010662998,4129145,2997351,0.5228577293171065,indie,243473.0,261794.0,4149965.0,5630337.0,18321.0,7.524859019275238,1480372.0,35.671915305309795,1117341.0,1727595.0,610254.0,54.61663001715681,,,,,0.5017701355005747,1131794,37.759808577640726,0.0210875938165318,4.202640277802593
30,2020-12-10,15531218,A Holly Jolly Christmas - Single Version,Burl Ives,,13891178,6110062,False,5,8.142857142857139,17,4733335,4733335,-7781116,-56.01480306421816,48404,35904,0.007922014539296,comfortable,,,,,,,,,,,,,,,,,0.0025846620063467627,12500,34.8150623885918,0.005337352532949239,206.50098619638126
31,2020-01-16,28142911,A Sweeter Place (feat. Kid Cudi),Selena Gomez,,42120313,36219027,False,1,,134,2022404,2022404,-5901286,-14.010546407857893,23606683,18679795,0.6517757365486379,superstar,60834162.0,61642396.0,165094915.0,195656953.0,808234.0,1.3285857377307178,30562038.0,18.51179850088053,59303085.0,63819923.0,4516838.0,7.6165312479106255,18519977.0,25900000.0,7380023.0,39.84898577357844,0.4434866141664237,4926888,26.37549287880301,0.20828912238221411,46.96627039661927
32,2020-03-05,28621947,A Tu Merced,Bad Bunny,,39855261,50734643,False,2,-7.142857142857139,65,3167050,3167050,10879382,27.297229341943087,27182805,17605395,0.5357839021356671,superstar,3541518.0,8530442.0,20759781.0,28757108.0,4988924.0,140.86964968129485,7997327.0,38.52317613562494,889435.0,2473155.0,1583720.0,178.0591049374041,,,,,0.44173327581520544,9577410,54.40042668738759,0.09405062632046164,21.29127042713593
33,2020-07-30,30374785,A2Z,Logic,,14285801,12429394,False,1,,192,1561630,1561630,-1856407,-12.99477012174536,5049351,4312281,0.40624273395790655,comfortable,1674882.0,1646222.0,6855348.0,6763257.0,-28660.0,-1.7111653238855038,-92091.0,-1.343345370650768,2463104.0,2433663.0,-29441.0,-1.1952804266486514,122938.0,208500.0,85562.0,69.59768338512096,0.30185783772292496,737070,17.092346254801114,0.1043848962349816,34.580813611603624
34,2020-05-28,29508435,ADDYS (feat. Nechie),Gunna,Nechie,11398583,34279878,True,1,,184,1526518,1526518,22881295,200.73806542444802,2661342,1679407,0.0776356905354214,comfortable,106836.0,237587.0,2520862.0,3297378.0,130751.0,122.38477666704107,776516.0,30.803590200494913,729051.0,1641580.0,912529.0,125.1666892988282,257217.0,640000.0,382783.0,148.81714661161587,0.14733471695560754,981935,58.46915012263258,-0.06969902642018615,-47.30658724595554
35,2020-11-12,31892296,ALWAYS DO,The Kid LAROI,,403958,17121042,False,5,-2.71428571428571,44,2853262,2853262,16717084,4138.322300833255,791775,13696,0.046245724997345375,indie,5859.0,29560.0,150873.0,1603682.0,23701.0,404.5229561358593,1452809.0,962.9350513345662,3322.0,207951.0,204629.0,6159.813365442505,220075.0,1100000.0,879925.0,399.8296035442463,0.033904514825798725,778079,5681.067464953271,0.01234121017154665,36.39990200407156
36,2020-04-23,29103402,AMAZING GRACE,DaBaby,,21300480,42133931,False,1,,138,1723343,1723343,20833451,97.80742499699538,4997734,1693894,0.11861542185560613,comfortable,786909.0,1034240.0,8964990.0,15035723.0,247331.0,31.43069910243751,6070733.0,67.71600414501299,897832.0,3346415.0,2448583.0,272.72173413288897,,,,,0.07952374782164533,3303840,195.04408186108452,0.0390916740339608,49.15723303387942
37,2020-12-03,32087484,ANTES QUE SE ACABE,Bad Bunny,,39855261,50734643,False,1,,81,2510440,2510440,10879382,27.297229341943087,27182805,17605395,0.5357839021356671,superstar,3541518.0,8530442.0,20759781.0,28757108.0,4988924.0,140.86964968129485,7997327.0,38.52317613562494,889435.0,2473155.0,1583720.0,178.0591049374041,,,,,0.44173327581520544,9577410,54.40042668738759,0.09405062632046164,21.29127042713593
38,2020-05-28,29508513,ARGENTINA,Gunna,,11398583,34279878,False,1,,84,2114775,2114775,22881295,200.73806542444802,2661342,1679407,0.0776356905354214,comfortable,106836.0,237587.0,2520862.0,3297378.0,130751.0,122.38477666704107,776516.0,30.803590200494913,729051.0,1641580.0,912529.0,125.1666892988282,257217.0,640000.0,382783.0,148.81714661161587,0.14733471695560754,981935,58.46915012263258,-0.06969902642018615,-47.30658724595554
39,2020-04-02,28817902,Addison Rae,The Kid LAROI,,403958,17121042,False,1,,194,1506772,1506772,16717084,4138.322300833255,791775,13696,0.046245724997345375,indie,5859.0,29560.0,150873.0,1603682.0,23701.0,404.5229561358593,1452809.0,962.9350513345662,3322.0,207951.0,204629.0,6159.813365442505,220075.0,1100000.0,879925.0,399.8296035442463,0.033904514825798725,778079,5681.067464953271,0.01234121017154665,36.39990200407156
40,2020-01-09,27599120,Adore You,Harry Styles,,30532559,41313683,False,54,3.0,13,5918797,5918797,10781124,35.3102535558844,10882654,5819822,0.263415246711362,comfortable,14383537.0,14666275.0,25726997.0,33850031.0,282738.0,1.9657056536233053,8123034.0,31.573968776845582,33905410.0,35934202.0,2028792.0,5.983682250118787,,,,,0.1906103579460864,5062832,86.99290115745808,0.07280488876527566,38.19566237101781
41,2020-02-27,28526913,After Hours,The Weeknd,,44066161,65803013,False,5,4.71428571428571,2,10284660,10284660,21736852,49.32776422252893,26310557,18207359,0.39983818066203136,superstar,7316899.0,7861036.0,21461716.0,25946303.0,544137.0,7.436716018630299,4484587.0,20.89575223155502,10870445.0,13703406.0,2832961.0,26.06113181199114,960597.0,2500000.0,1539403.0,160.2548207000438,0.4131823282722541,8103198,44.505070724425224,-0.013344147610222734,-3.229602695260967
42,2020-05-21,28737966,After Party,Don Toliver,,11545399,33429304,False,37,10.2857142857143,13,5222251,5222251,21883905,189.54654577117688,1070285,157234,0.03201637102585205,comfortable,16094.0,42691.0,429643.0,1371286.0,26597.0,165.26034547036164,941643.0,219.1687051808129,68817.0,224028.0,155211.0,225.54165395178515,259200.0,337400.0,78200.0,30.169753086419753,0.013618758433554356,913051,580.6956510678351,0.018397612592297698,135.09023368069322
43,2020-07-09,29991945,Aim For The Moon (feat. Quavo),Pop Smoke,Quavo,4275931,39885895,True,4,2.28571428571429,24,3817303,3817303,35609964,832.8002486476047,2726875,78443,0.068366900128479,indie,54331.0,294938.0,663629.0,3389271.0,240607.0,442.8539875945593,2725642.0,410.7177353611732,89084.0,187013.0,97929.0,109.92883121548202,487982.0,2600000.0,2112018.0,432.8065379460718,0.018345244579484558,2648432,3376.2502708973393,0.05002165554899445,272.66824016581137
44,2020-07-09,15090469,Alexander Hamilton,Leslie Odom Jr.,Anthony Ramos,2748222,3972697,True,3,-2.14285714285714,126,1843578,1843578,1224475,44.55517057937822,177370,119084,0.04464725097333122,indie,188763.0,191835.0,441035.0,766884.0,3072.0,1.6274375804580348,325849.0,73.88279841735917,354613.0,523527.0,168914.0,47.633335495314604,92.0,283300.0,283208.0,307834.7826086957,0.04333128837481106,58286,48.94528232172248,0.001315962598520161,3.0369800850074515
45,2020-01-23,28219138,Alfred - Interlude,Eminem,,32008047,36683936,False,1,,71,3303161,3303161,4675889,14.608479548908436,39639349,31837878,1.0805642284404815,comfortable,86607467.0,86020410.0,26913605.0,31089350.0,-587057.0,-0.6778364733839866,4175745.0,15.515368528296378,22786184.0,22836314.0,50130.0,0.22000173438430934,,,,,0.9946835556696102,7801471,24.50374048169919,0.0858806727708713,8.633969294189987
46,2020-01-23,28219584,Alfred - Outro,Eminem,,32008047,36683936,False,1,,179,1844104,1844104,4675889,14.608479548908436,39639349,31837878,1.0805642284404815,comfortable,86607467.0,86020410.0,26913605.0,31089350.0,-587057.0,-0.6778364733839866,4175745.0,15.515368528296378,22786184.0,22836314.0,50130.0,0.22000173438430934,,,,,0.9946835556696102,7801471,24.50374048169919,0.0858806727708713,8.633969294189987
47,2020-03-26,28819673,Algorhythm,Childish Gambino,,12687034,14185617,False,1,,181,1553037,1553037,1498583,11.811925466582654,7174653,5782628,0.5057695410781216,comfortable,1599997.0,1608302.0,3725887.0,3871216.0,8305.0,0.5190634732440124,145329.0,3.9005208692587834,2419164.0,2518816.0,99652.0,4.119274261687097,,,,,0.4557903762218971,1392025,24.07253241951583,0.04997916485622445,10.965383971137769
48,2020-06-04,29592365,Alice,Lady Gaga,,31157161,40385514,False,1,,56,2829834,2829834,9228353,29.61872232197279,14839074,10120286,0.36743556117671294,comfortable,58447258.0,57535270.0,38931887.0,45402284.0,-911988.0,-1.5603606246164703,6470397.0,16.61978778475341,80626027.0,82906492.0,2280465.0,2.8284476922073813,2460620.0,3000000.0,539380.0,21.920491583422066,0.3248141253948009,4718788,46.627022200755995,0.04262143578191202,13.121792572939082
