index,add_date,rank,title,cm_track_id,artist_names,cm_artist_ids,current_plays,time_on_chart,velocity,primary_artist,secondary_artist,primary_artist ID,secondfary_artist ID,Prim: Jan. 5-Listeners,Prim: Dec. 6-Listeners,collab,max velocity,peak weekly rank,peak weekly play count,best or worst,listener difference,listener diff. %,Prim: Dec. 6-Followers,current engagement,career status,Prim: Jan 5-Followers,early FB likes,recent FB likes,early IG followers,recent IG followers,lFB Like difference,FB Like difference,FB Like % Gain,IG Follower difference,IG Follower % Gain
26,2020-01-09T00:00:00.000Z,27,Memories,25265336,['Maroon 5'],[1546],4510361,56,0.14285714285714302,Maroon 5,,1546,,52359716,41278277,False,2.71428571428571,27,4510361,best50,-11081439,-21.16405482413236,28110928,0.681010207863085,superstar,21540350,37415765.0,36909952.0,7605352.0,7921585.0,-505813.0,-505813.0,-1.3518713301732572,316233.0,4.15803239613367
27,2020-01-09T00:00:00.000Z,28,Lose You To Love Me,26549073,['Selena Gomez'],[3168],4291918,12,1.14285714285714,Selena Gomez,,3168,,42120313,36219027,False,4.28571428571429,19,5601540,best50,-5901286,-14.010546407857893,23606683,0.6517757365486379,superstar,18679795,60834162.0,61642396.0,165094915.0,195656953.0,808234.0,808234.0,1.3285857377307178,30562038.0,18.511798500880538
28,2020-01-09T00:00:00.000Z,29,SUGAR,24955524,['BROCKHAMPTON'],[80749],4290774,33,5.571428571428571,BROCKHAMPTON,,80749,,6245954,8268495,False,5.571428571428571,21,5084244,best50,2022541,32.381618564593985,1630040,0.19713865703492595,indie,1136293,119754.0,127322.0,1005722.0,1016357.0,7568.0,7568.0,6.319621891544333,10635.0,1.0574492752470366
29,2020-01-09T00:00:00.000Z,30,Lucid Dreams,19173542,['Juice WRLD'],[921966],4068069,107,-0.14285714285714302,Juice WRLD,,921966,,37770326,36216658,False,2.71428571428571,28,4068069,best50,-1553668,-4.113461980709407,13688838,0.3779707669327192,superstar,7246826,305000.0,611477.0,11235610.0,12099235.0,306477.0,306477.0,100.48426229508196,863625.0,7.686498552370543
30,2020-01-09T00:00:00.000Z,31,Suge,22513774,['DaBaby'],[398544],4012729,74,0.14285714285714302,DaBaby,,398544,,21300480,42133931,False,2.42857142857143,31,4012729,best50,20833451,97.80742499699538,4997734,0.11861542185560613,comfortable,1693894,786909.0,1034240.0,8964990.0,15035723.0,247331.0,247331.0,31.430699102437508,6070733.0,67.71600414501299
31,2020-01-09T00:00:00.000Z,32,Say So,26951096,['Doja Cat'],[217671],3895584,41,4.28571428571429,Doja Cat,,217671,,13761847,33020571,False,4.28571428571429,3,8494545,best50,19258724,139.94287249378664,4337663,0.13136244676083889,comfortable,779315,160132.0,471670.0,2649362.0,8112050.0,311538.0,311538.0,194.55074563485124,5462688.0,206.18881074009514
32,2020-01-09T00:00:00.000Z,33,Robbery,22424919,['Juice WRLD'],[921966],3857669,94,0.0,Juice WRLD,,921966,,37770326,36216658,False,2.71428571428571,33,3857669,best50,-1553668,-4.113461980709407,13688838,0.3779707669327192,superstar,7246826,305000.0,611477.0,11235610.0,12099235.0,306477.0,306477.0,100.48426229508196,863625.0,7.686498552370543
33,2020-01-09T00:00:00.000Z,34,bad guy,22669299,['Billie Eilish'],[5596],3830917,86,-0.5714285714285711,Billie Eilish,,5596,,54342584,52078113,False,7.28571428571429,18,5643838,best50,-2264471,-4.167028568240332,35817144,0.6877580990693729,superstar,18332312,5015832.0,7211631.0,48119814.0,71217231.0,2195799.0,2195799.0,43.77736335666745,23097417.0,47.9998052361549
34,2020-01-09T00:00:00.000Z,35,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,28009769,"['Travis Scott', 'ROSALÍA', 'Lil Baby']","[4215, 612801, 731530]",3735347,7,-3.5714285714285694,Travis Scott,ROSALÍA,4215,612801.0,38669161,39381880,True,3.5714285714285694,35,3735347,best50,712719,1.8431198959811927,13851627,0.3517258952594442,superstar,7529546,1942108.0,2584710.0,23488841.0,35317740.0,642602.0,642602.0,33.08786123119826,11828899.0,50.35965376069428
35,2020-01-09T00:00:00.000Z,36,Writing on the Wall,25351517,"['French Montana', 'Post Malone', 'Cardi B', 'Rvssian']","[3754, 135326, 200408, 214112]",3695717,3,-0.14285714285714302,French Montana,Post Malone,3754,135326.0,20521868,15345601,True,-0.14285714285714302,36,3695717,best50,-5176267,-25.223176564628524,3735632,0.2434334113079051,comfortable,3243525,4248680.0,4201487.0,12247276.0,12931057.0,-47193.0,-47193.0,-1.1107685210465368,683781.0,5.5831272194731305
36,2020-01-09T00:00:00.000Z,37,Ransom,23630396,['Lil Tecca'],[1014878],3657828,47,0.0,Lil Tecca,,1014878,,17495868,11658461,False,2.57142857142857,37,3657828,best50,-5837407,-33.36448926112154,3077453,0.2639673452610941,comfortable,1441332,,,2812457.0,3534813.0,,,,722356.0,25.684161571181356
37,2020-01-09T00:00:00.000Z,38,TOES (feat. Lil Baby & Moneybagg Yo),25360349,"['DaBaby', 'Lil Baby', 'Moneybagg Yo']","[398544, 731530, 601328]",3492249,34,2.28571428571429,DaBaby,Lil Baby,398544,731530.0,21300480,42133931,True,2.28571428571429,18,5479595,best50,20833451,97.80742499699538,4997734,0.11861542185560613,comfortable,1693894,786909.0,1034240.0,8964990.0,15035723.0,247331.0,247331.0,31.430699102437508,6070733.0,67.71600414501299
38,2020-01-09T00:00:00.000Z,39,Truth Hurts,16784704,['Lizzo'],[210712],3433280,38,-0.14285714285714302,Lizzo,,210712,,25064884,12438794,False,3.28571428571429,39,3433280,best50,-12626090,-50.37362231558704,3358528,0.27000431070729203,comfortable,1765491,405701.0,468911.0,7282614.0,9566910.0,63210.0,63210.0,15.580439782006946,2284296.0,31.36642969131688
39,2020-01-09T00:00:00.000Z,40,223's (feat. 9lokknine),24825166,"['YNW Melly', '9lokknine']","[763339, 1579488]",3424197,31,-0.14285714285714302,YNW Melly,9lokknine,763339,1579488.0,14174407,11285917,True,2.14285714285714,40,3536165,best50,-2888490,-20.378207003651017,5033789,0.4460239252158243,comfortable,2338729,117824.0,204693.0,3165608.0,3751194.0,86869.0,86869.0,73.72776344378056,585586.0,18.498373772115816
40,2020-01-09T00:00:00.000Z,41,Hot (Remix) [feat. Gunna and Travis Scott],26826415,"['Young Thug', 'Travis Scott', 'Gunna']","[4517, 4215, 620149]",3421786,11,-0.14285714285714302,Young Thug,Travis Scott,4517,4215.0,21155993,28654596,True,3.5714285714285694,41,3421786,best50,7498603,35.444344304708366,5710175,0.19927606028715253,comfortable,4709928,2220758.0,2327758.0,7002123.0,7968238.0,107000.0,107000.0,4.818174695306738,966115.0,13.797458285151517
41,2020-01-09T00:00:00.000Z,42,Falling,27651731,['Harry Styles'],[558681],3415708,52,0.0,Harry Styles,,558681,,30532559,41313683,False,5.0,6,7503297,best50,10781124,35.3102535558844,10882654,0.263415246711362,comfortable,5819822,14383537.0,14666275.0,25726997.0,33850031.0,282738.0,282738.0,1.9657056536233057,8123034.0,31.573968776845586
