index,add_date,rank,title,cm_track_id,artist_names,cm_artist_ids,current_plays,time_on_chart,velocity,primary_artist,secondary_artist,primary_artist ID,secondfary_artist ID,Prim: Jan. 1-Listeners,Prim: Jan. 12-Listeners,collab,peak daily rank,peak daily play count,listener difference,listener diff. %,career status,Prim: Jan. 1-Followers,Prim: Jan 12-Followers,current engagement,early engagement,follower difference,follower diff. %,engagement diff,engagement diff %
24,2021-01-07T00:00:00.000Z,25,Reminds Me Of You,32198060,"['Juice WRLD', 'The Kid LAROI']","[921966, 1333786]",434255,36,0.857142857142857,Juice WRLD,The Kid LAROI,921966,1333786.0,38522755,37776642,True,25,434255,-746113,-1.9368111133276942,superstar,14758935,14505893,0.383991065166671,0.38312252070237446,-253042,-1.7145004026374533,0.0008685444642965168,0.22670149034941184
25,2021-01-07T00:00:00.000Z,26,All Girls Are The Same,19043811,['Juice WRLD'],[921966],433143,756,1.0,Juice WRLD,,921966,,38522755,37776642,False,26,454635,-746113,-1.9368111133276942,superstar,14758935,14505893,0.383991065166671,0.38312252070237446,-253042,-1.7145004026374533,0.0008685444642965168,0.22670149034941184
26,2021-01-07T00:00:00.000Z,27,Tyler Herro,31747497,['Jack Harlow'],[152627],425117,32,-0.142857142857143,Jack Harlow,,152627,,19852628,20759441,False,27,462030,906813,4.567722721646726,comfortable,634257,606718,0.029226124152379632,0.03194826397794791,-27539,-4.341930794614801,-0.0027221398255682754,-8.520462418387478
27,2021-01-07T00:00:00.000Z,28,Monster (Shawn Mendes & Justin Bieber),32011803,"['Shawn Mendes', 'Justin Bieber']","[4934, 3479]",422752,39,1.71428571428571,Shawn Mendes,Justin Bieber,4934,3479.0,54590555,53912500,True,28,430469,-678055,-1.2420738349335338,superstar,30788429,30639000,0.5683097611871087,0.5639882027211484,-149429,-0.48534142485802056,0.0043215584659603845,0.7662497983308145
28,2021-01-07T00:00:00.000Z,29,champagne problems,32235123,['Taylor Swift'],[2762],419987,32,-0.285714285714286,Taylor Swift,,2762,,51023330,51468521,False,29,453599,445191,0.8725243922731033,superstar,35481046,35082263,0.6816256289936912,0.6953886780811837,-398783,-1.1239324793299499,-0.013763049087492485,-1.9791879737630282
29,2021-01-07T00:00:00.000Z,30,Blueberry Faygo,28404303,['Lil Mosey'],[855069],415568,325,-1.42857142857143,Lil Mosey,,855069,,17224638,17194576,False,30,448311,-30062,-0.17452906702596593,comfortable,3194896,3155649,0.18352583977645043,0.1854840722922595,-39247,-1.228428092808029,-0.0019582325158090663,-1.055741601749805
30,2021-01-07T00:00:00.000Z,31,you broke me first,29094941,['Tate McRae'],[550577],414360,178,1.57142857142857,Tate McRae,,550577,,22093352,22598964,False,31,493110,505612,2.2885255256875463,comfortable,1055908,1024453,0.04533185680547126,0.04779301936618762,-31455,-2.978952711789285,-0.002461162560716358,-5.149627693239172
31,2021-01-07T00:00:00.000Z,32,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",32157551,"['Jack Harlow', 'Tory Lanez', 'DaBaby', 'Lil Wayne']","[152627, 4234, 398544, 1465]",410552,32,0.0,Jack Harlow,Tory Lanez,152627,4234.0,19852628,20759441,True,32,426623,906813,4.567722721646726,comfortable,634257,606718,0.029226124152379632,0.03194826397794791,-27539,-4.341930794614801,-0.0027221398255682754,-8.520462418387478
32,2021-01-07T00:00:00.000Z,33,Somebody’s Problem,32019714,['Morgan Wallen'],[212715],409560,48,2.28571428571429,Morgan Wallen,,212715,,9672494,10403805,False,3,1120990,731311,7.560728391250489,indie,1172572,1109726,0.1066653979000952,0.12122747245953319,-62846,-5.359670877353373,-0.01456207455943799,-12.01219019418139
33,2021-01-07T00:00:00.000Z,34,Heather,28789080,['Conan Gray'],[562618],407027,186,1.42857142857143,Conan Gray,,562618,,19517397,18949766,False,31,508663,-567631,-2.908333524188702,comfortable,2464991,2382214,0.1257120536475226,0.1262971184118456,-82777,-3.358105567119718,-0.00058506476432299,-0.4632447451533589
