index,add_date,rank,title,cm_track_id,artist_names,cm_artist_ids,current_plays,time_on_chart,velocity,primary_artist,secondary_artist,primary_artist ID,secondfary_artist ID,Prim: Jan. 5-Listeners,Prim: Dec. 6-Listeners,collab,max velocity,peak weekly rank,peak weekly play count,best or worst,listener difference,listener diff. %,Prim: Dec. 6-Followers,current engagement,career status,emerging
71,2020-06-04T00:00:00.000Z,197,Skechers,28242824,['DripReport'],[3422954],1459467,11,-4.28571428571429,DripReport,,3422954,,44366,3435273,False,2.85714285714286,57,2514808,worst50,3390907,7643.030699184059,81873,0.02383304034351855,indie,False
72,2020-06-11T00:00:00.000Z,122,JU$T (feat. Pharrell Williams & Zack de la Rocha),29671615,"['Run The Jewels', 'Zack De La Rocha', 'Pharrell Williams']","[4578, 114574, 2143]",1750054,1,,Run The Jewels,Zack De La Rocha,4578,114574.0,1383206,3109864,True,,122,1750054,worst50,1726658,124.83014099129123,824980,0.2652784816313511,indie,True
73,2020-06-11T00:00:00.000Z,148,Beer Can’t Fix,23214435,"['Thomas Rhett', 'Jon Pardi']","[4222, 4510]",1612473,4,-0.5714285714285711,Thomas Rhett,Jon Pardi,4222,4510.0,7346241,10873168,True,4.57142857142857,144,1682250,worst50,3526927,48.00995502325611,3617276,0.3326791235084384,indie,True
74,2020-06-18T00:00:00.000Z,144,Sick and Tired (ft. Machine Gun Kelly and Travis Barker),29094944,"['iann dior', 'Machine Gun Kelly', 'Travis Barker']","[1416285, 3991, 216839]",1669217,1,,iann dior,Machine Gun Kelly,1416285,3991.0,4480855,39141809,True,,144,1669217,worst50,34660954,773.5343812732167,850496,0.02172858183432452,indie,False
75,2020-06-18T00:00:00.000Z,183,Pretty Girls,29692228,['iann dior'],[1416285],1508574,1,,iann dior,,1416285,,4480855,39141809,False,,183,1508574,worst50,34660954,773.5343812732167,850496,0.02172858183432452,indie,False
76,2020-06-18T00:00:00.000Z,185,IDK You Yet,28987886,['Alexander 23'],[1422356],1496554,4,-1.14285714285714,Alexander 23,,1422356,,2467134,5647140,False,-0.14285714285714302,163,1608245,worst50,3180006,128.89474183404712,109690,0.01942399161345389,indie,False
77,2020-06-18T00:00:00.000Z,187,Does To Me (feat. Eric Church),26292344,"['Luke Combs', 'Eric Church']","[207759, 2657]",1495569,5,-3.0,Luke Combs,Eric Church,207759,2657.0,7904711,11328621,True,3.28571428571429,130,1771317,worst50,3423910,43.31480303327977,3859200,0.3406592911882214,indie,True
78,2020-06-18T00:00:00.000Z,196,CITY OF ANGELS,27456981,['24kGoldn'],[1005525],1472845,18,-2.14285714285714,24kGoldn,,1005525,,5790432,42134582,False,18.1428571428571,44,3592929,best50,36344150,627.6586962768928,557965,0.013242447735686568,indie,False
79,2020-06-25T00:00:00.000Z,181,Lockdown,29841447,['Anderson .Paak'],[4911],1475271,1,,Anderson .Paak,,4911,,6121286,7057785,False,,181,1475271,worst50,936499,15.299056440100985,1637236,0.23197589612038336,indie,True
80,2020-06-25T00:00:00.000Z,193,Hurricane,14341351,['Luke Combs'],[207759],1447880,47,-0.14285714285714302,Luke Combs,,207759,,7904711,11328621,False,2.14285714285714,179,1534614,worst50,3423910,43.31480303327977,3859200,0.3406592911882214,indie,True
