,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm artist id,spotify followers-jan 5,spotify followers-dec 6
3740,41,2020-11-29T00:00:00.000Z,Put Your Records On,Ritt Momney,QZDA82017347,2.85714285714286,29186474.0,92,['2020-04-24T00:00:00.000Z'],531390.0,14532.0,69488.0
3741,42,2020-11-29T00:00:00.000Z,Mood,24kGoldn,USQX92003025,3.0,30361159.0,128,"['2020-07-24T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-12-17T00:00:00.000Z']",1005525.0,50701.0,557965.0
3742,43,2020-11-29T00:00:00.000Z,Dynamite,BTS,QM7282022872,3.85714285714286,31077815.0,107,"['2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-24T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z']",206557.0,15456354.0,25814033.0
3743,44,2020-11-29T00:00:00.000Z,ICE (feat. MORGENSHTERN),Morgenshtern,FRX282026285,-4.14285714285714,30524363.0,124,['2020-07-31T00:00:00.000Z'],1003897.0,14094.0,608456.0
3744,45,2020-11-29T00:00:00.000Z,The Chicken Wing Beat,Ricky Desktop,QZHN72010372,,29891961.0,125,['2020-06-13T00:00:00.000Z'],3667592.0,106.0,41487.0
3745,46,2020-11-29T00:00:00.000Z,Vai Ter Que Aguentar,MC Don Juan,BXG6R2000446,,29345235.0,78,['2020-05-08T00:00:00.000Z'],298917.0,2820345.0,3542166.0
3746,47,2020-11-29T00:00:00.000Z,Run free,Deep Chills,NLYK91700007,,13646389.0,159,['2017-08-18T00:00:00.000Z'],71652.0,33714.0,44563.0
3747,48,2020-11-29T00:00:00.000Z,She Share Story (for Vlog),夕依,QZHN52089091,,29745716.0,189,['2020-06-02T00:00:00.000Z'],,,
3748,49,2020-11-29T00:00:00.000Z,Surrender,Natalie Taylor,TCACJ1544888,,14341447.0,210,['2015-10-29T00:00:00.000Z'],164355.0,23708.0,84628.0
3749,50,2020-11-29T00:00:00.000Z,Parce,Juan Luis,USSD12000217,-3.14285714285714,31077840.0,111,"['2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z']",,,
